STATS OVERVIEW	A%	DF%	1stIn	1st%	2nd%	BPSaved	RPW%	Winners (FH/BH)	UFE (FH/BH)
Francisco Cerundolo	3.6%	9.1%	60.0%	51.5%	40.9%	2/8	38.2%	11 (4/5)	31 (10/16)
Carlos Alcaraz	1.3%	3.9%	53.9%	68.3%	54.3%	5/7	52.7%	20 (13/5)	32 (13/16)
SET 1									
Francisco Cerundolo	8.0%	0.0%	64.0%	81.3%	55.6%	0/1	45.8%	7 (3/2)	6 (4/2)
Carlos Alcaraz	4.2%	0.0%	58.3%	57.1%	50.0%	1/3	28.0%	7 (5/0)	14 (5/9)
SET 2									
Francisco Cerundolo	0.0%	7.1%	71.4%	10.0%	25.0%	2/5	39.3%	2 (1/1)	9 (3/5)
Carlos Alcaraz	0.0%	3.6%	57.1%	62.5%	58.3%	4/4	85.7%	7 (5/2)	8 (4/3)
SET 3									
Francisco Cerundolo	0.0%	25.0%	43.8%	42.9%	33.3%	0/2	29.2%	2 (0/2)	16 (3/9)
Carlos Alcaraz	0.0%	8.3%	45.8%	90.9%	53.8%	0/0	62.5%	6 (3/3)	10 (4/4)
